Fileversion:004;;;;;;;;;
Type;Date;Source Name;Area Name;Currency;PriceUnit;Comment;Base;Peak;OffPeak
Comment:  DatedBrent;1;2;3;4;5;6;7;8;9
Spot;03/07/2012;Platts;DatedBrent;USD;Bbl;;100.42;;
Spot;02/07/2012;Platts;DatedBrent;USD;Bbl;;95.505;;
Spot;29/06/2012;Platts;DatedBrent;USD;Bbl;;94.495;;
Spot;28/06/2012;Platts;DatedBrent;USD;Bbl;;91.455;;
Spot;27/06/2012;Platts;DatedBrent;USD;Bbl;;92.43;;
Spot;26/06/2012;Platts;DatedBrent;USD;Bbl;;90.285;;
Spot;25/06/2012;Platts;DatedBrent;USD;Bbl;;88.62;;
Spot;22/06/2012;Platts;DatedBrent;USD;Bbl;;89.365;;
Spot;21/06/2012;Platts;DatedBrent;USD;Bbl;;89.165;;
Spot;20/06/2012;Platts;DatedBrent;USD;Bbl;;93.53;;
Spot;19/06/2012;Platts;DatedBrent;USD;Bbl;;95.19;;
Spot;18/06/2012;Platts;DatedBrent;USD;Bbl;;95.27;;
Spot;15/06/2012;Platts;DatedBrent;USD;Bbl;;97.01;;
Spot;14/06/2012;Platts;DatedBrent;USD;Bbl;;96.62;;
Spot;13/06/2012;Platts;DatedBrent;USD;Bbl;;97.32;;
Spot;12/06/2012;Platts;DatedBrent;USD;Bbl;;96.285;;
Spot;11/06/2012;Platts;DatedBrent;USD;Bbl;;97.98;;
Spot;08/06/2012;Platts;DatedBrent;USD;Bbl;;97.355;;
Spot;07/06/2012;Platts;DatedBrent;USD;Bbl;;99.93;;
Spot;06/06/2012;Platts;DatedBrent;USD;Bbl;;101.205;;
